<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.08.02	09:00:00	1.18718	1.18762	1.18695	1.18737	1211	0	0
2021.08.02	09:30:00	1.18736	1.18840	1.18642	1.18825	1605	0	0
2021.08.02	10:00:00	1.18826	1.18870	1.18787	1.18830	1592	0	0
2021.08.02	10:30:00	1.18830	1.18873	1.18811	1.18813	1124	0	0
2021.08.02	11:00:00	1.18813	1.18880	1.18810	1.18862	1059	0	0
2021.08.02	11:30:00	1.18862	1.18885	1.18784	1.18848	1083	0	0
2021.08.02	12:00:00	1.18848	1.18876	1.18814	1.18835	1022	0	0
2021.08.02	12:30:00	1.18834	1.18957	1.18813	1.18954	1007	0	0
2021.08.02	13:00:00	1.18954	1.18969	1.18869	1.18871	1175	0	0
2021.08.02	13:30:00	1.18871	1.18928	1.18868	1.18910	843	0	0
2021.08.02	14:00:00	1.18909	1.18928	1.18871	1.18876	1096	0	0
2021.08.02	14:30:00	1.18877	1.18917	1.18807	1.18898	1114	0	0
2021.08.02	15:00:00	1.18897	1.18903	1.18802	1.18863	1635	0	0
2021.08.02	15:30:00	1.18864	1.18870	1.18716	1.18731	1605	0	0
2021.08.02	16:00:00	1.18736	1.18820	1.18728	1.18790	1268	0	0
2021.08.02	16:30:00	1.18790	1.18879	1.18752	1.18805	2166	0	0
2021.08.02	17:00:00	1.18812	1.18891	1.18773	1.18774	3076	0	0
2021.08.02	17:30:00	1.18774	1.18841	1.18760	1.18783	2338	0	0
2021.08.02	18:00:00	1.18784	1.18858	1.18778	1.18823	1899	0	0
2021.08.02	18:30:00	1.18825	1.18838	1.18723	1.18727	1515	0	0
2021.08.02	19:00:00	1.18729	1.18733	1.18677	1.18683	1600	0	0
2021.08.02	19:30:00	1.18684	1.18707	1.18665	1.18694	1093	0	0
2021.08.02	20:00:00	1.18694	1.18698	1.18650	1.18690	1003	0	0
2021.08.02	20:30:00	1.18690	1.18695	1.18668	1.18681	702	0	0
2021.08.02	21:00:00	1.18682	1.18701	1.18671	1.18695	540	0	0
2021.08.02	21:30:00	1.18696	1.18737	1.18689	1.18737	519	0	0
2021.08.02	22:00:00	1.18740	1.18751	1.18697	1.18702	548	0	0
2021.08.02	22:30:00	1.18703	1.18711	1.18662	1.18709	817	0	0
2021.08.02	23:00:00	1.18709	1.18719	1.18688	1.18718	463	0	0
2021.08.02	23:30:00	1.18717	1.18727	1.18686	1.18688	342	0	0
2021.08.03	00:00:00	1.18670	1.18714	1.18660	1.18703	180	0	12
2021.08.03	00:30:00	1.18724	1.18737	1.18705	1.18713	509	0	7
2021.08.03	01:00:00	1.18713	1.18737	1.18701	1.18734	238	0	1
2021.08.03	01:30:00	1.18736	1.18762	1.18736	1.18738	266	0	0
2021.08.03	02:00:00	1.18738	1.18745	1.18722	1.18732	409	0	0
2021.08.03	02:30:00	1.18731	1.18752	1.18723	1.18742	300	0	0
2021.08.03	03:00:00	1.18746	1.18785	1.18725	1.18759	596	0	0
2021.08.03	03:30:00	1.18760	1.18763	1.18705	1.18717	768	0	0
2021.08.03	04:00:00	1.18718	1.18728	1.18690	1.18700	831	0	0
2021.08.03	04:30:00	1.18701	1.18761	1.18681	1.18748	960	0	0
2021.08.03	05:00:00	1.18748	1.18769	1.18728	1.18746	926	0	0
2021.08.03	05:30:00	1.18742	1.18759	1.18702	1.18708	825	0	0
2021.08.03	06:00:00	1.18708	1.18758	1.18702	1.18717	934	0	0
2021.08.03	06:30:00	1.18717	1.18750	1.18705	1.18746	493	0	0
2021.08.03	07:00:00	1.18746	1.18779	1.18744	1.18773	767	0	0
2021.08.03	07:30:00	1.18774	1.18827	1.18766	1.18802	1832	0	0
2021.08.03	08:00:00	1.18802	1.18817	1.18763	1.18769	892	0	0
2021.08.03	08:30:00	1.18769	1.18782	1.18725	1.18750	864	0	0
2021.08.03	09:00:00	1.18751	1.18792	1.18720	1.18761	1637	0	0
2021.08.03	09:30:00	1.18762	1.18762	1.18711	1.18729	1397	0	0
2021.08.03	10:00:00	1.18730	1.18827	1.18727	1.18785	2004	0	0
2021.08.03	10:30:00	1.18785	1.18838	1.18764	1.18783	1949	0	0
2021.08.03	11:00:00	1.18783	1.18796	1.18738	1.18794	1130	0	0
2021.08.03	11:30:00	1.18794	1.18854	1.18788	1.18840	1229	0	0
2021.08.03	12:00:00	1.18840	1.18845	1.18798	1.18819	1080	0	0
2021.08.03	12:30:00	1.18819	1.18868	1.18789	1.18846	893	0	0
2021.08.03	13:00:00	1.18846	1.18894	1.18814	1.18884	1044	0	0
2021.08.03	13:30:00	1.18885	1.18919	1.18854	1.18876	971	0	0
2021.08.03	14:00:00	1.18876	1.18932	1.18846	1.18923	966	0	0
